,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
0,Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
2,Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,5,90.0,kmpl,23.0,1396
4,Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197
7,Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,5,67.1,kmpl,23.59,1364
8,Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,5,68.1,kmpl,20.0,1399
15,Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396
16,Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
17,Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
18,Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,21.0,1461
21,Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.5,1248
22,Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,5,83.81,kmpl,20.3,1199
23,Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
46,Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,5,103.25,kmpl,20.65,1462
51,Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.12,1248
52,Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197
53,Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.27,1396
56,Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
57,Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,5,108.495,kmpl,22.0,1498
59,Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,5,67.0,kmpl,20.51,998
60,Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,5,108.62,kmpl,21.66,1498
63,Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
66,Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
68,Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
70,Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
71,Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,5,67.04,kmpl,23.1,998
74,Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,5,68.05,kmpl,19.81,1086
78,Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,5,68.05,kmpl,19.81,1086
84,Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,5,46.3,kmpl,19.7,796
85,Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
86,Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,5,67.05,kmpl,21.79,998
88,Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
90,Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
98,Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
99,Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.9,1396
101,Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,21.63,998
103,Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
104,Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
105,Hyundai,2016,1140000,50000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
106,Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
108,Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
109,Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,23.1,998
110,Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796
111,Maruti,2013,625000,90000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
113,Maruti,2015,700000,110000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
126,Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,21.21,1197
128,Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,5,108.5,kmpl,21.5,1497
132,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598
134,Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
135,Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
136,Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,5,67.0,kmpl,20.51,998
139,Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,5,73.9,kmpl,21.1,1248
146,Toyota,2010,300000,60000,Diesel,Individual,Manual,First Owner,5,87.2,kmpl,21.43,1364
149,Tata,2017,490000,90000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
154,Maruti,2016,459999,60000,Petrol,Individual,Manual,Second Owner,5,83.14,kmpl,20.85,1197
158,Tata,2019,520000,14000,Petrol,Individual,Manual,First Owner,5,84.0,kmpl,20.3,1199
159,Maruti,2015,580000,70000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
163,Maruti,2017,550000,50000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
165,Maruti,2018,420000,35000,Petrol,Individual,Automatic,First Owner,5,67.0,kmpl,20.51,998
